"愛","あい","love, affection, care; attachment, craving, desire; agape; Ireland"
"","どんなに","how, how much, to what extent; no matter how (much), however"
"名","な","name, given name; title; fame, renown, reputation; pretext, pretense, justification, appearance"
"内容","ないよう","contents, content, substance, matter, detail, import"
"直","なお","straight; ordinary, common; doing nothing"
"仲","なか","relation, relationship"
"中々","なかなか","very, considerably, easily, readily, fairly, quite, highly, rather; by no means, not readily; middle, half-way point; excellent, wonderful, very good"
"半ば","なかば","middle, halfway, midway; half (of), one half; half (e.g. done, jokingly), partly, in part, partially; mostly, almost, nearly"
"仲間","なかま","companion, fellow, friend, mate, comrade, partner, colleague, coworker, associate; group, company, circle, set, gang; member of the same category (family, class)"
"流す","ながす","to drain, to pour, to run, to let flow, to flush, to shed (blood, tears), to spill; to float (e.g. logs down a river), to set adrift; to wash away, to carry away, to sweep away; to broadcast, to play (e.g. music over a loudspeaker), to send (electricity through a wire); to circulate (a rumour, information, etc.), to spread, to distribute; to cruise (of a taxi), to stroll around (in search of customers, an audience, etc.), to go from place to place; to cancel (a plan, meeting, etc.), to call off, to reject (e.g. a bill); to forfeit (a pawn); to do leisurely (e.g. running, swimming), to do with ease, to do effortlessly; to exile, to banish; to hit (the ball) to the opposite field; to do inattentively, to do without concentrating, to put little effort into doing; to cause a miscarriage, to abort"
"眺め","ながめ","scene, view, prospect, outlook"
"眺める","ながめる","to look at, to gaze at, to watch, to stare at; to look out over, to get a view of, to admire (e.g. the scenery); to look on (from the sidelines), to stand by and watch, to observe"
"流れ","ながれ","flow (of a fluid or gas), stream, current; flow (of people, things), passage (of time), tide, passing, (changing) trends, tendency; course (of events), (step-by-step) procedure, process; group of people who remain together after the end of an event; descent, ancestry, school; forfeiture, foreclosure; cancellation; drifting, wandering, roaming"
"流れる","ながれる","to stream, to flow (liquid, time, etc.), to run (ink); to be washed away, to be carried; to drift, to float (e.g. clouds), to wander, to stray; to sweep (e.g. rumour, fire), to spread, to circulate; to be heard (e.g. music), to be played; to lapse (e.g. into indolence, despair); to pass, to elapse, to be transmitted; to be called off, to be forfeited; to disappear, to be removed"
"無し","なし","without; unacceptable, not alright, unsatisfactory; nonexistent, not being (there)"
"何故なら","なぜなら","because, the reason is, if you want to know why"
"謎","なぞ","riddle, puzzle, enigma, mystery; enigmatic, mysterious"
"納得","なっとく","consent, agreement, acceptance; understanding, satisfaction (e.g. with an explanation), being convinced"
"等","など","et cetera, etc., and the like, and so forth; or something; the likes of; for example, for instance, for one"
"何","なに, ナニ","what; you-know-what, that thing; whatsit, whachamacallit, what's-his-name, what's-her-name; penis, (one's) thing, dick; (not) at all, (not) in the slightest; what?, huh?; hey!, come on!; oh, no (it's fine), why (it's nothing), oh (certainly not)"
"何か","なにか, なんか","something, some, any; somehow, for some reason; (so) what (are you trying to say)?, what (do you mean)?"
"何も","なにも, なんも","(not) anything, (nothing) at all, (not) any, nothing; and everything else, and all; (not) at all, (not) in the least, (not) especially, (not) to that extent"
"鍋","なべ","pan, pot, saucepan; stew, hot pot"
"生","なま","raw, uncooked, fresh; natural, as it is, unedited, unprocessed; unprotected (sex), raw, bareback; live (i.e. not recorded); inexperienced, unpolished, green, crude; impudence, sauciness; unpasteurized beer, draft beer, draught beer; blank (e.g. disk), unused; just a little, somehow, vaguely, partially, somewhat, half-, semi-; insufficient, incomplete, half-baked, half-hearted, perfunctory; cash; tipsiness"
"怠ける","なまける","to be lazy, to be idle, to slack; to neglect (e.g. one's work), to be neglectful of, to skip (e.g. school)"
"生物","なまもの","raw food, perishables"
"波","なみ","wave, billow, ripple, breaker, swell; ups and downs; (something) advancing step by step, (something) surging forward inopposably, succession of changes; tendency, (new) wave"
"涙","なみだ, なみた, なだ, なんだ","tear, tears, lachrymal secretion; sympathy"
"悩む","なやむ","to be worried, to be troubled"
"成る","なる","to become, to get, to grow, to turn, to reach, to attain; to result in, to turn out, to end up, to prove (to be); to consist of, to be composed of, to be made up of; to be completed, to be realized, to succeed, to be attained, to be accomplished; to change (into), to turn (into), to transform; to come (to do), to begin (to do), to grow (to do); to come to, to amount to, to add up to, to make; to play (the part of), to act as; to be used for, to be useful for, to serve as; to be promoted; to do ..."
"縄","なわ","rope, cord; policeman's rope"
"何","なん","what; how many; many, a lot of; several, a few, some"
"何で","なんで","why?, what for?; how?, by what means?"
"何でも","なんでも","any, anything, whatever, whatever one likes, everything, all; I am told, I hear, I understand, they say"
"何とか","なんとか","something, something or other, so-and-so; somehow, anyhow, one way or another"
"似合う","にあう","to suit, to match, to become, to be like"
"匂い","におい","smell, scent, odour, odor, stench; aura, whiff, smack, flavour, flavor, mood; faint, mist-like pattern along the temper line of a Japanese sword"
"苦手","にがて","poor (at), weak (in), not very good (at); not one's cup of tea, not one's favorite"
"握る","にぎる","to clasp, to grasp, to grip, to clutch; to hold (the answer), to have (e.g. the solution), to be the key, to be the reason; to seize (power), to hold (the reins), to dominate, to control; to make (nigirizushi, rice ball, etc.), to form (with one's hands), to press into shape, to mold, to mould"
"日","にち","Sunday; nth day (of the month); counter for days; Japan"
"日常","にちじょう","everyday, daily, ordinary, usual, routine, regular"
"日曜","にちよう","Sunday"
"日光","にっこう","sunlight, sunshine, sunbeams; Nikkō (city in Tochigi)"
"","にっこり, ニッコリ, にこり, ニコリ","sweetly (smiling), broadly (grinning)"
"日中","にっちゅう","daytime, during the day; Japan and China, Japanese-Chinese, Sino-Japanese"
"日本","にほん, にっぽん","Japan"
"入院","にゅういん","hospitalization, hospitalisation"
"入学","にゅうがく","admission (to a school or university), entrance, enrolment, enrollment, matriculation"
"入場","にゅうじょう","entrance, entering, admission, admittance"
"人気","にんき","popularity, public favor; condition (e.g. market), tone, character, nature"
"人間","にんげん","human being, human, person, man, mankind, humankind; character (of a person)"
"抜く","ぬく","to pull out, to draw out, to extract, to unplug, to weed; to omit, to leave out, to go without, to skip; to do to the end, to do thoroughly, to do completely, to do severely; to let out (e.g. air from a tyre), to drain (e.g. water from a bath), to empty; to pick out, to choose, to select, to extract; to pilfer, to steal; to remove, to get rid of, to take out; to pass, to overtake, to outstrip, to get ahead of; to pierce, to break through, to go through; to cut out (a shape), to create (a pattern) by dying the surrounding area; to seize, to capture, to reduce; to scoop (a story); to take out (an opponent's stones; in go); to masturbate (of a male), to ejaculate (while masturbating); to take (a photo), to record (video)"
